date,facility_id,facility_name,country,region,storage_site_type,co2_emitted_tonnes,co2_captured_tonnes,co2_stored_tonnes,capture_efficiency_percent,storage_integrity_percent,anomaly_flag,notes
2021-01-01,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13141.88,11668.06,11634.96,88.79,99.716,False,
2021-01-02,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13544.9,11474.92,11470.05,84.72,99.958,False,
2021-01-03,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12812.44,11447.91,11396.97,89.35,99.555,False,
2021-01-04,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,11069.59,9800.21,9843.52,88.53,100.442,False,
2021-01-05,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12712.02,11716.06,11688.33,92.17,99.763,False,
2021-01-06,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12158.04,10376.03,10325.79,85.34,99.516,False,
2021-01-07,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12105.9,10728.47,10724.19,88.62,99.96,False,
2021-01-08,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12749.57,11154.24,11095.39,87.49,99.472,False,
2021-01-09,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,11433.0,11347.92,11317.78,99.26,99.734,False,
2021-01-10,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13734.15,11711.67,11743.87,85.27,100.275,False,
2021-01-11,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12391.88,11168.89,11184.43,90.13,100.139,False,
2021-01-12,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13041.5,11302.17,11249.46,86.66,99.534,False,
2021-01-13,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12070.63,11733.35,11762.97,97.21,100.252,False,
2021-01-14,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14117.32,12802.85,12811.75,90.69,100.069,False,
2021-01-15,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12937.19,11350.79,11294.95,87.74,99.508,False,
2021-01-16,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13878.83,13816.55,13827.07,99.55,100.076,False,
2021-01-17,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13175.46,11760.31,11704.91,89.26,99.529,False,
2021-01-18,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13140.13,11847.31,11797.18,90.16,99.577,False,
2021-01-19,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12304.93,12056.23,12013.98,97.98,99.65,False,
2021-01-20,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14413.54,14128.89,14093.19,98.03,99.747,False,
2021-01-21,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12483.69,10982.83,10918.9,87.98,99.418,False,
2021-01-22,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12951.85,10678.23,10645.81,82.45,99.696,False,
2021-01-23,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12931.85,12656.39,12622.91,97.87,99.736,False,
2021-01-24,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,11174.21,10085.18,10115.65,90.25,100.302,False,
2021-01-25,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13429.69,11846.29,11805.62,88.21,99.657,False,
2021-01-26,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13121.69,11473.71,11451.02,87.44,99.802,False,
2021-01-27,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14661.29,13077.53,13082.83,89.2,100.041,False,
2021-01-28,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14957.72,13956.38,13925.25,93.31,99.777,False,
2021-01-29,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12430.13,10568.71,10493.46,85.02,99.288,False,
2021-01-30,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14478.6,13475.88,13498.36,93.07,100.167,False,
2021-01-31,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12567.66,12555.1,12544.61,99.9,99.916,False,
2021-02-01,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12634.49,12388.28,12342.83,98.05,99.633,False,
2021-02-02,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13877.76,13043.3,13029.91,93.99,99.897,False,
2021-02-03,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13436.4,12981.71,12909.37,96.62,99.443,False,
2021-02-04,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14264.43,14001.93,13947.98,98.16,99.615,False,
2021-02-05,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,15059.84,13187.89,13127.99,87.57,99.546,False,
2021-02-06,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14076.69,11874.96,11844.98,84.36,99.748,False,
2021-02-07,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12442.52,11843.78,11854.01,95.19,100.086,False,
2021-02-08,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,15094.65,14128.44,14082.19,93.6,99.673,False,
2021-02-09,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14885.31,12650.79,12654.78,84.99,100.032,False,
2021-02-10,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13787.14,13549.42,13473.16,98.28,99.437,False,
2021-02-11,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14499.6,13333.64,13308.35,91.96,99.81,False,
2021-02-12,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12736.17,12623.98,12603.44,99.12,99.837,False,
2021-02-13,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14783.97,14565.17,14502.09,98.52,99.567,False,
2021-02-14,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13485.12,11909.25,11860.06,88.31,99.587,False,
2021-02-15,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14115.24,13197.3,13202.93,93.5,100.043,False,
2021-02-16,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14103.4,13620.92,13558.02,96.58,99.538,False,
2021-02-17,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,15263.64,13907.88,13905.26,91.12,99.981,False,
2021-02-18,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14670.11,14655.44,14567.62,99.9,99.401,False,
2021-02-19,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,15230.48,14735.87,14772.74,96.75,100.25,False,
2021-02-20,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13590.2,12480.29,12522.3,91.83,100.337,False,
2021-02-21,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14568.15,12317.25,12304.99,84.55,99.9,False,
2021-02-22,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13375.07,12667.73,12551.6,94.71,99.083,False,
2021-02-23,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,16305.6,15578.93,15527.12,95.54,99.667,False,
2021-02-24,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13479.08,12430.07,12433.99,92.22,100.032,False,
2021-02-25,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,16149.18,14144.43,14184.56,87.59,100.284,False,
2021-02-26,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12836.17,12805.8,12765.7,99.76,99.687,False,
2021-02-27,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,16186.03,14624.64,14651.55,90.35,100.184,False,
2021-02-28,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14826.1,13736.41,13709.74,92.65,99.806,False,
2021-03-01,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13268.0,11346.32,11367.89,85.52,100.19,False,
2021-03-02,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13851.68,12544.44,12517.15,90.56,99.782,False,
2021-03-03,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,17076.33,16111.28,16076.11,94.35,99.782,False,
2021-03-04,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14524.97,13259.93,13257.88,91.29,99.985,False,
2021-03-05,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,16846.24,16693.04,16665.09,99.09,99.833,False,
2021-03-06,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14753.5,12600.9,12542.24,85.41,99.535,False,
2021-03-07,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13908.9,13378.63,13366.14,96.19,99.907,False,
2021-03-08,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,15502.53,14877.14,14875.49,95.97,99.989,False,
